Id,Name
11004,SK Berlin Charlottenburg-Wilmersdorf
11005,SK Berlin Spandau
11006,SK Berlin Steglitz-Zehlendorf
11007,SK Berlin Tempelhof-Schöneberg
11008,SK Berlin Neukölln
11009,SK Berlin Treptow-Köpenick
11010,SK Berlin Marzahn-Hellersdorf
11011,SK Berlin Lichtenberg
11012,SK Berlin Reinickendorf
12051,SK Brandenburg a.d.Havel
12052,SK Cottbus
12053,SK Frankfurt (Oder)
12054,SK Potsdam
12060,LK Barnim
12061,LK Dahme-Spreewald
12062,LK Elbe-Elster
12063,LK Havelland
12064,LK Märkisch-Oderland
12065,LK Oberhavel
12066,LK Oberspreewald-Lausitz
12067,LK Oder-Spree
12068,LK Ostprignitz-Ruppin
12069,LK Potsdam-Mittelmark
12070,LK Prignitz
12071,LK Spree-Neiße
12072,LK Teltow-Fläming
12073,LK Uckermark
13003,SK Rostock
13004,SK Schwerin
13071,LK Mecklenburgische Seenplatte
13072,LK Rostock
13073,LK Vorpommern-Rügen
13074,LK Nordwestmecklenburg
13075,LK Vorpommern-Greifswald
13076,LK Ludwigslust-Parchim
14511,SK Chemnitz
14521,LK Erzgebirgskreis
14522,LK Mittelsachsen
14523,LK Vogtlandkreis
14524,LK Zwickau
14612,SK Dresden
14625,LK Bautzen
14626,LK Görlitz
14627,LK Meißen
14628,LK Sächsische Schweiz-Osterzgebirge
14713,SK Leipzig
14729,LK Leipzig
14730,LK Nordsachsen
15001,SK Dessau-Roßlau
15002,SK Halle
15003,SK Magdeburg
15081,LK Altmarkkreis Salzwedel
15082,LK Anhalt-Bitterfeld
15083,LK Börde
15084,LK Burgenlandkreis
15085,LK Harz
15086,LK Jerichower Land
15087,LK Mansfeld-Südharz
15088,LK Saalekreis
15089,LK Salzlandkreis
15090,LK Stendal
15091,LK Wittenberg
16051,SK Erfurt
16052,SK Gera
16053,SK Jena
16054,SK Suhl
16055,SK Weimar
16056,SK Eisenach
16061,LK Eichsfeld
16062,LK Nordhausen
16063,LK Wartburgkreis
16064,LK Unstrut-Hainich-Kreis
16065,LK Kyffhäuserkreis
16066,LK Schmalkalden-Meiningen
16067,LK Gotha
16068,LK Sömmerda
16069,LK Hildburghausen
16070,LK Ilm-Kreis
16071,LK Weimarer Land
16072,LK Sonneberg
16073,LK Saalfeld-Rudolstadt
16074,LK Saale-Holzland-Kreis
16075,LK Saale-Orla-Kreis
16076,LK Greiz
16077,LK Altenburger Land
