AGS,Altersgruppe,Name,GueltigAb,GueltigBis,Einwohner,männlich,weiblich
01061,unbekannt,LK Steinburg,2020-01-01,2222-12-31,0,0,0
01062,A00+,LK Stormarn,2020-01-01,2020-10-07,243196,,
01062,A00+,LK Stormarn,2020-10-08,2021-08-26,244156,,
01062,A00+,LK Stormarn,2021-08-27,2222-12-31,244989,119730,125259
01062,A00-A04,LK Stormarn,2021-08-27,2222-12-31,11189,5807,5382
01062,A05-A14,LK Stormarn,2021-08-27,2222-12-31,24183,12418,11765
01062,A15-A34,LK Stormarn,2021-08-27,2222-12-31,46317,24070,22247
01062,A35-A59,LK Stormarn,2021-08-27,2222-12-31,89392,43808,45584
01062,A60-A79,LK Stormarn,2021-08-27,2222-12-31,54310,25763,28547
01062,A80+,LK Stormarn,2021-08-27,2222-12-31,19598,7864,11734
01062,unbekannt,LK Stormarn,2020-01-01,2222-12-31,0,0,0
02,A00+,Hamburg,2020-01-01,2020-10-07,1841179,,
02,A00+,Hamburg,2020-10-08,2021-08-25,1847253,,
02,A00+,Hamburg,2021-08-26,2222-12-31,1852478,906933,945545
02,A00-A04,Hamburg,2021-08-26,2222-12-31,99330,50945,48385
02,A05-A14,Hamburg,2021-08-26,2222-12-31,167269,86148,81121
02,A15-A34,Hamburg,2021-08-26,2222-12-31,493226,247540,245686
02,A35-A59,Hamburg,2021-08-26,2222-12-31,654183,327708,326475
02,A60-A79,Hamburg,2021-08-26,2222-12-31,325931,151872,174059
02,A80+,Hamburg,2021-08-26,2222-12-31,112539,42720,69819
02,unbekannt,Hamburg,2020-01-01,2222-12-31,0,0,0
02000,A00+,SK Hamburg,2020-01-01,2020-10-07,1841179,,
02000,A00+,SK Hamburg,2020-10-08,2021-08-26,1847253,,
02000,A00+,SK Hamburg,2021-08-27,2222-12-31,1852478,906933,945545
02000,A00-A04,SK Hamburg,2021-08-26,2222-12-31,99330,50945,48385
02000,A05-A14,SK Hamburg,2021-08-26,2222-12-31,167269,86148,81121
02000,A15-A34,SK Hamburg,2021-08-26,2222-12-31,493226,247540,245686
02000,A35-A59,SK Hamburg,2021-08-26,2222-12-31,654183,327708,326475
02000,A60-A79,SK Hamburg,2021-08-26,2222-12-31,325931,151872,174059
02000,A80+,SK Hamburg,2021-08-26,2222-12-31,112539,42720,69819
02000,unbekannt,SK Hamburg,2020-01-01,2222-12-31,0,0,0
03,A00+,Niedersachsen,2020-01-01,2020-10-07,7982448,,
03,A00+,Niedersachsen,2020-10-08,2021-08-25,7993608,,
03,A00+,Niedersachsen,2021-08-26,2222-12-31,8003421,3951456,4051965
03,A00-A04,Niedersachsen,2021-08-26,2222-12-31,379454,194385,185069
03,A05-A14,Niedersachsen,2021-08-26,2222-12-31,727875,374605,353270
03,A15-A34,Niedersachsen,2021-08-26,2222-12-31,1815315,947404,867911
03,A35-A59,Niedersachsen,2021-08-26,2222-12-31,2730237,1362370,1367867
03,A60-A79,Niedersachsen,2021-08-26,2222-12-31,1770323,847722,922602
03,A80+,Niedersachsen,2021-08-26,2222-12-31,580217,224970,355246
03,unbekannt,Niedersachsen,2020-01-01,2222-12-31,0,0,0
03101,A00+,SK Braunschweig,2020-01-01,2020-10-07,248292,,
03101,A00+,SK Braunschweig,2020-10-08,2021-08-26,249406,,
03101,A00+,SK Braunschweig,2021-08-27,2222-12-31,248561,123229,125332
03101,A00-A04,SK Braunschweig,2021-08-27,2222-12-31,11012,5566,5446
03101,A05-A14,SK Braunschweig,2021-08-27,2222-12-31,19672,10102,9570
03101,A15-A34,SK Braunschweig,2021-08-27,2222-12-31,67825,36077,31748
03101,A35-A59,SK Braunschweig,2021-08-27,2222-12-31,82093,41744,40349
03101,A60-A79,SK Braunschweig,2021-08-27,2222-12-31,49757,22939,26818
03101,A80+,SK Braunschweig,2021-08-27,2222-12-31,18202,6801,11401
03101,unbekannt,SK Braunschweig,2020-01-01,2222-12-31,0,0,0
03102,A00+,SK Salzgitter,2020-01-01,2020-10-07,104948,,
03102,A00+,SK Salzgitter,2020-10-08,2021-08-26,104291,,
03102,A00+,SK Salzgitter,2021-08-27,2222-12-31,103866,51606,52260
03102,A00-A04,SK Salzgitter,2021-08-27,2222-12-31,5774,2951,2823
03102,A05-A14,SK Salzgitter,2021-08-27,2222-12-31,10298,5373,4925
03102,A15-A34,SK Salzgitter,2021-08-27,2222-12-31,23472,12424,11048
03102,A35-A59,SK Salzgitter,2021-08-27,2222-12-31,33295,16853,16442
03102,A60-A79,SK Salzgitter,2021-08-27,2222-12-31,23139,10979,12160
03102,A80+,SK Salzgitter,2021-08-27,2222-12-31,7888,3026,4862
03102,unbekannt,SK Salzgitter,2020-01-01,2222-12-31,0,0,0
03103,A00+,SK Wolfsburg,2020-01-01,2020-10-07,124151,,
03103,A00+,SK Wolfsburg,2020-10-08,2021-08-26,124371,,
03103,A00+,SK Wolfsburg,2021-08-27,2222-12-31,123840,61654,62186
03103,A00-A04,SK Wolfsburg,2021-08-27,2222-12-31,6512,3334,3178
03103,A05-A14,SK Wolfsburg,2021-08-27,2222-12-31,11373,5931,5442
03103,A15-A34,SK Wolfsburg,2021-08-27,2222-12-31,28344,15024,13320
03103,A35-A59,SK Wolfsburg,2021-08-27,2222-12-31,41849,21330,20519
03103,A60-A79,SK Wolfsburg,2021-08-27,2222-12-31,25802,12047,13755
03103,A80+,SK Wolfsburg,2021-08-27,2222-12-31,9960,3988,5972
03103,unbekannt,SK Wolfsburg,2020-01-01,2222-12-31,0,0,0
03151,A00+,LK Gifhorn,2020-01-01,2020-10-07,175920,,
03151,A00+,LK Gifhorn,2020-10-08,2021-08-26,176523,,
03151,A00+,LK Gifhorn,2021-08-27,2222-12-31,177227,88590,88637
03151,A00-A04,LK Gifhorn,2021-08-27,2222-12-31,9462,4870,4592
03151,A05-A14,LK Gifhorn,2021-08-27,2222-12-31,17419,8912,8507
03151,A15-A34,LK Gifhorn,2021-08-27,2222-12-31,37254,19525,17729
03151,A35-A59,LK Gifhorn,2021-08-27,2222-12-31,63335,31834,31501
03151,A60-A79,LK Gifhorn,2021-08-27,2222-12-31,38573,18939,19634
03151,A80+,LK Gifhorn,2021-08-27,2222-12-31,11184,4510,6674
03151,unbekannt,LK Gifhorn,2020-01-01,2222-12-31,0,0,0
03153,A00+,LK Goslar,2020-01-01,2020-10-07,137014,,
03153,A00+,LK Goslar,2020-10-08,2021-08-26,136292,,
03153,A00+,LK Goslar,2021-08-27,2222-12-31,134688,66826,67862
03153,A00-A04,LK Goslar,2021-08-27,2222-12-31,4867,2496,2371
03153,A05-A14,LK Goslar,2021-08-27,2222-12-31,10001,5167,4834
03153,A15-A34,LK Goslar,2021-08-27,2222-12-31,27615,15228,12387
03153,A35-A59,LK Goslar,2021-08-27,2222-12-31,44482,22354,22128
03153,A60-A79,LK Goslar,2021-08-27,2222-12-31,34957,16664,18293
03153,A80+,LK Goslar,2021-08-27,2222-12-31,12766,4917,7849
03153,unbekannt,LK Goslar,2020-01-01,2222-12-31,0,0,0
03154,A00+,LK Helmstedt,2020-01-01,2020-10-07,91307,,
03154,A00+,LK Helmstedt,2020-10-08,2021-08-26,91297,,
03154,A00+,LK Helmstedt,2021-08-27,2222-12-31,91518,45394,46124
03154,A00-A04,LK Helmstedt,2021-08-27,2222-12-31,4391,2216,2175
03154,A05-A14,LK Helmstedt,2021-08-27,2222-12-31,7962,4082,3880
03154,A15-A34,LK Helmstedt,2021-08-27,2222-12-31,18343,9628,8715
03154,A35-A59,LK Helmstedt,2021-08-27,2222-12-31,32050,16207,15843
03154,A60-A79,LK Helmstedt,2021-08-27,2222-12-31,21596,10582,11014
03154,A80+,LK Helmstedt,2021-08-27,2222-12-31,7176,2679,4497
03154,unbekannt,LK Helmstedt,2020-01-01,2222-12-31,0,0,0
03155,A00+,LK Northeim,2020-01-01,2020-10-07,132765,,
03155,A00+,LK Northeim,2020-10-08,2021-08-26,132285,,
03155,A00+,LK Northeim,2021-08-27,2222-12-31,131772,64988,66784
03155,A00-A04,LK Northeim,2021-08-27,2222-12-31,5424,2764,2660
03155,A05-A14,LK Northeim,2021-08-27,2222-12-31,10996,5624,5372
03155,A15-A34,LK Northeim,2021-08-27,2222-12-31,26006,13661,12345
03155,A35-A59,LK Northeim,2021-08-27,2222-12-31,44543,22091,22452
03155,A60-A79,LK Northeim,2021-08-27,2222-12-31,33158,16374,16784
03155,A80+,LK Northeim,2021-08-27,2222-12-31,11645,4474,7171
03155,unbekannt,LK Northeim,2020-01-01,2222-12-31,0,0,0
03157,A00+,LK Peine,2020-01-01,2020-10-07,133965,,
03157,A00+,LK Peine,2020-10-08,2021-08-26,134801,,
03157,A00+,LK Peine,2021-08-27,2222-12-31,135844,67280,68564
03157,A00-A04,LK Peine,2021-08-27,2222-12-31,6989,3589,3400
