GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2019
08416;Tübingen, Landkreis;228678
08417;Zollernalbkreis;189363
08421;Ulm, kreisfreie Stadt;126790
08425;Alb-Donau-Kreis;197076
08426;Biberach, Landkreis;201282
08435;Bodenseekreis;217470
08436;Ravensburg, Landkreis;285424
08437;Sigmaringen, Landkreis;130849
09161;Ingolstadt, kreisfreie Stadt;137392
09162;München, kreisfreie Stadt;1484226
09163;Rosenheim, kreisfreie Stadt;63551
09171;Altötting, Landkreis;111516
09172;Berchtesgadener Land, Landkreis;105929
09173;Bad Tölz-Wolfratshausen, Landkreis;127917
09174;Dachau, Landkreis;154899
09175;Ebersberg, Landkreis;143649
09176;Eichstätt, Landkreis;132881
09177;Erding, Landkreis;138182
09178;Freising, Landkreis;180007
09179;Fürstenfeldbruck, Landkreis;219311
09180;Garmisch-Partenkirchen, Landkreis;88424
09181;Landsberg am Lech, Landkreis;120302
09182;Miesbach, Landkreis;100010
09183;Mühldorf am Inn, Landkreis;115872
09184;München, Landkreis;350473
09185;Neuburg-Schrobenhausen, Landkreis;97303
09186;Pfaffenhofen an der Ilm, Landkreis;128227
09187;Rosenheim, Landkreis;261330
09188;Starnberg, Landkreis;136667
09189;Traunstein, Landkreis;177319
09190;Weilheim-Schongau, Landkreis;135478
09261;Landshut, kreisfreie Stadt;73411
09262;Passau, kreisfreie Stadt;52803
09263;Straubing, kreisfreie Stadt;47791
09271;Deggendorf, Landkreis;119478
09272;Freyung-Grafenau, Landkreis;78362
09273;Kelheim, Landkreis;123058
09274;Landshut, Landkreis;159895
09275;Passau, Landkreis;192656
09276;Regen, Landkreis;77410
09277;Rottal-Inn, Landkreis;121502
09278;Straubing-Bogen, Landkreis;101120
09279;Dingolfing-Landau, Landkreis;96683
09361;Amberg, kreisfreie Stadt;42207
09362;Regensburg, kreisfreie Stadt;153094
09363;Weiden in der Oberpfalz, kreisfreie Stadt;42743
09371;Amberg-Sulzbach, Landkreis;103049
09372;Cham, Landkreis;127998
09373;Neumarkt in der Oberpfalz, Landkreis;134573
09374;Neustadt an der Waldnaab, Landkreis;94450
09375;Regensburg, Landkreis;194070
09376;Schwandorf, Landkreis;147872
09377;Tirschenreuth, Landkreis;72046
09461;Bamberg, kreisfreie Stadt;77373
09462;Bayreuth, kreisfreie Stadt;74783
09463;Coburg, kreisfreie Stadt;41072
09464;Hof, kreisfreie Stadt;45825
09471;Bamberg, Landkreis;147163
09472;Bayreuth, Landkreis;103664
09473;Coburg, Landkreis;86747
09474;Forchheim, Landkreis;116203
09475;Hof, Landkreis;94801
09476;Kronach, Landkreis;66743
09477;Kulmbach, Landkreis;71566
09478;Lichtenfels, Landkreis;66776
09479;Wunsiedel im Fichtelgebirge, Landkreis;72655
09561;Ansbach, kreisfreie Stadt;41798
09562;Erlangen, kreisfreie Stadt;112528
09563;Fürth, kreisfreie Stadt;128497
09564;Nürnberg, kreisfreie Stadt;518370
09565;Schwabach, kreisfreie Stadt;40981
09571;Ansbach, Landkreis;184591
09572;Erlangen-Höchstadt, Landkreis;137262
09573;Fürth, Landkreis;117853
09574;Nürnberger Land, Landkreis;170792
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;101014
09576;Roth, Landkreis;126749
09577;Weißenburg-Gunzenhausen, Landkreis;94734
09661;Aschaffenburg, kreisfreie Stadt;71002
09662;Schweinfurt, kreisfreie Stadt;53426
09663;Würzburg, kreisfreie Stadt;127934
09671;Aschaffenburg, Landkreis;174200
09672;Bad Kissingen, Landkreis;103235
09673;Rhön-Grabfeld, Landkreis;79635
09674;Haßberge, Landkreis;84384
09675;Kitzingen, Landkreis;91155
09676;Miltenberg, Landkreis;128743
09677;Main-Spessart, Landkreis;126158
09678;Schweinfurt, Landkreis;115445
09679;Würzburg, Landkreis;162302
09761;Augsburg, kreisfreie Stadt;296582
09762;Kaufbeuren, kreisfreie Stadt;44398
09763;Kempten (Allgäu), kreisfreie Stadt;69151
09764;Memmingen, kreisfreie Stadt;44100
09771;Aichach-Friedberg, Landkreis;134655
09772;Augsburg, Landkreis;253468
09773;Dillingen an der Donau, Landkreis;96562
09774;Günzburg, Landkreis;127027
09775;Neu-Ulm, Landkreis;175204
09776;Lindau (Bodensee), Landkreis;81981
09777;Ostallgäu, Landkreis;141182
09778;Unterallgäu, Landkreis;145341
09779;Donau-Ries, Landkreis;133783
09780;Oberallgäu, Landkreis;156008
10041;Regionalverband Saarbrücken, Landkreis;328714
10042;Merzig-Wadern, Landkreis;103243
10043;Neunkirchen, Landkreis;131408
10044;Saarlouis, Landkreis;194319
10045;Saarpfalz-Kreis;142196
10046;Sankt Wendel, Landkreis;87007
11000;Berlin, kreisfreie Stadt;3669491
12051;Brandenburg an der Havel, kreisfreie Stadt;72184
12052;Cottbus, kreisfreie Stadt;99678
12053;Frankfurt (Oder), kreisfreie Stadt;57751
12054;Potsdam, kreisfreie Stadt;180334
12060;Barnim, Landkreis;185244
12061;Dahme-Spreewald, Landkreis;170791
12062;Elbe-Elster, Landkreis;101827
12063;Havelland, Landkreis;162996
12064;Märkisch-Oderland, Landkreis;195751
12065;Oberhavel, Landkreis;212914
12066;Oberspreewald-Lausitz, Landkreis;109371
12067;Oder-Spree, Landkreis;178803
12068;Ostprignitz-Ruppin, Landkreis;98861
12069;Potsdam-Mittelmark, Landkreis;216566
12070;Prignitz, Landkreis;76158
12071;Spree-Neiße, Landkreis;113720
12072;Teltow-Fläming, Landkreis;169997
12073;Uckermark, Landkreis;118947
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-
13003;Rostock, kreisfreie Stadt;209191
13004;Schwerin, kreisfreie Stadt;95653
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-
13051;Bad Doberan, Landkreis (bis 03.09.2011);-
13052;Demmin, Landkreis (bis 03.09.2011);-
13053;Güstrow, Landkreis (bis 03.09.2011);-
13054;Ludwigslust, Landkreis (bis 03.09.2011);-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-
13056;Müritz, Landkreis (bis 03.09.2011);-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-
13060;Parchim, Landkreis (bis 03.09.2011);-
13061;Rügen, Landkreis (bis 03.09.2011);-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-
13071;Mecklenburgische Seenplatte, Landkreis;258074
13072;Rostock, Landkreis;215794
13073;Vorpommern-Rügen, Landkreis;224702
13074;Nordwestmecklenburg, Landkreis;157322
13075;Vorpommern-Greifswald, Landkreis;235623
13076;Ludwigslust-Parchim, Landkreis;211779
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-
14171;Annaberg, Landkreis (bis 31.07.2008);-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-
14177;Freiberg, Landkreis (bis 31.07.2008);-
14178;Vogtlandkreis (bis 31.07.2008);-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-
14182;Mittweida, Landkreis (bis 31.07.2008);-
14188;Stollberg, Landkreis (bis 31.07.2008);-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-
14272;Bautzen, Landkreis (bis 31.07.2008);-
