Datenstand,IdLandkreis,Landkreis,incidence_7d
2023-11-08,07335,LK Kaiserslautern,13.102112247667357
2023-11-08,07336,LK Kusel,22.873808060158115
2023-11-08,07337,LK Südliche Weinstraße,2.6959264551263042
2023-11-08,07338,LK Rhein-Pfalz-Kreis,6.449532408900354
2023-11-08,07339,LK Mainz-Bingen,14.593729404010922
2023-11-08,07340,LK Südwestpfalz,20.03817800229912
2023-11-08,08111,SK Stuttgart,10.857849986028501
2023-11-08,08115,LK Böblingen,4.832207937537355
2023-11-08,08116,LK Esslingen,22.122732419926955
2023-11-08,08117,LK Göppingen,11.966986558371872
2023-11-08,08118,LK Ludwigsburg,13.953172418984392
2023-11-08,08119,LK Rems-Murr-Kreis,14.977206563760776
2023-11-08,08121,SK Heilbronn,27.067262146433887
2023-11-08,08125,LK Heilbronn,22.13928774748561
2023-11-08,08126,LK Hohenlohekreis,2.6474170034769413
2023-11-08,08127,LK Schwäbisch Hall,8.024152699625875
2023-11-08,08128,LK Main-Tauber-Kreis,6.017028189777069
2023-11-08,08135,LK Heidenheim,18.802930248649947
2023-11-08,08136,LK Ostalbkreis,14.920208628959807
2023-11-08,08211,SK Baden-Baden,5.402777027392079
2023-11-08,08212,SK Karlsruhe,13.376747949442416
2023-11-08,08215,LK Karlsruhe,18.729639878078963
2023-11-08,08216,LK Rastatt,18.080380204566588
2023-11-08,08221,SK Heidelberg,13.815190429840811
2023-11-08,08222,SK Mannheim,20.84462417142619
2023-11-08,08225,LK Neckar-Odenwald-Kreis,17.369675326028805
2023-11-08,08226,LK Rhein-Neckar-Kreis,11.292643389250133
2023-11-08,08231,SK Pforzheim,7.966286674792279
2023-11-08,08235,LK Calw,8.090312783938861
2023-11-08,08236,LK Enzkreis,8.489939421785184
2023-11-08,08237,LK Freudenstadt,14.263779230259349
2023-11-08,08311,SK Freiburg i.Breisgau,9.4889755356958
2023-11-08,08315,LK Breisgau-Hochschwarzwald,15.801830002407899
2023-11-08,08316,LK Emmendingen,83.36062401381405
2023-11-08,08317,LK Ortenaukreis,11.276421922284742
2023-11-08,08325,LK Rottweil,7.832191732053601
2023-11-08,08326,LK Schwarzwald-Baar-Kreis,30.46137263631464
2023-11-08,08327,LK Tuttlingen,20.36316654261519
2023-11-08,08335,LK Konstanz,7.636316934921224
2023-11-08,08336,LK Lörrach,16.56170324042799
2023-11-08,08337,LK Waldshut,13.430735361958318
2023-11-08,08415,LK Reutlingen,12.49314612122516
2023-11-08,08416,LK Tübingen,9.138142607242631
2023-11-08,08417,LK Zollernalbkreis,17.84355401611168
2023-11-08,08421,SK Ulm,25.20697287887262
2023-11-08,08425,LK Alb-Donau-Kreis,25.03354495023331
2023-11-08,08426,LK Biberach,26.56905000885635
2023-11-08,08435,LK Bodenseekreis,6.396052721748863
2023-11-08,08436,LK Ravensburg,8.013630139611374
2023-11-08,08437,LK Sigmaringen,22.774720060732587
2023-11-08,09161,SK Ingolstadt,17.389288198469742
2023-11-08,09162,SK München,16.40106795150661
2023-11-08,09163,SK Rosenheim,12.596838193613404
2023-11-08,09171,LK Altötting,24.082200577972813
2023-11-08,09172,LK Berchtesgadener Land,0.0
2023-11-08,09173,LK Bad Tölz-Wolfratshausen,12.507915165065391
2023-11-08,09174,LK Dachau,10.292764829622577
2023-11-08,09175,LK Ebersberg,8.300936622348889
2023-11-08,09176,LK Eichstätt,23.19768921082958
2023-11-08,09177,LK Erding,18.621707180816777
2023-11-08,09178,LK Freising,7.728657863357329
2023-11-08,09179,LK Fürstenfeldbruck,16.470017705269033
2023-11-08,09180,LK Garmisch-Partenkirchen,4.533502584096473
2023-11-08,09181,LK Landsberg a.Lech,11.52585908813989
2023-11-08,09182,LK Miesbach,7.001540338874553
2023-11-08,09183,LK Mühldorf a.Inn,17.0059350713399
2023-11-08,09184,LK München,10.862201539574144
2023-11-08,09185,LK Neuburg-Schrobenhausen,20.30395013349847
2023-11-08,09186,LK Pfaffenhofen a.d.Ilm,15.41164503899146
2023-11-08,09187,LK Rosenheim,20.8834060455562
2023-11-08,09188,LK Starnberg,13.894271903588379
2023-11-08,09189,LK Traunstein,10.647419121643962
2023-11-08,09190,LK Weilheim-Schongau,5.1228758361265205
2023-11-08,09261,SK Landshut,13.670539986329459
2023-11-08,09262,SK Passau,26.36882451547285
2023-11-08,09263,SK Straubing,18.807205249299955
2023-11-08,09271,LK Deggendorf,6.637847346105658
2023-11-08,09272,LK Freyung-Grafenau,16.53270932953505
2023-11-08,09273,LK Kelheim,22.599052454014966
2023-11-08,09274,LK Landshut,30.801264083878003
2023-11-08,09275,LK Passau,19.06332113967747
2023-11-08,09276,LK Regen,36.28070902871359
2023-11-08,09277,LK Rottal-Inn,8.179825278932041
2023-11-08,09278,LK Straubing-Bogen,18.555049903318427
2023-11-08,09279,LK Dingolfing-Landau,25.49849558876026
2023-11-08,09361,SK Amberg,26.19421822165071
2023-11-08,09362,SK Regensburg,33.866954969975644
2023-11-08,09363,SK Weiden i.d.OPf.,23.544923714447165
2023-11-08,09371,LK Amberg-Sulzbach,28.07982416220456
2023-11-08,09372,LK Cham,28.027778642832676
2023-11-08,09373,LK Neumarkt i.d.OPf.,18.37397656950508
2023-11-08,09374,LK Neustadt a.d.Waldnaab,24.25188215694131
2023-11-08,09375,LK Regensburg,25.09924446151876
2023-11-08,09376,LK Schwandorf,18.091785659244568
2023-11-08,09377,LK Tirschenreuth,46.05850826261724
2023-11-08,09461,SK Bamberg,24.437613345509266
2023-11-08,09462,SK Bayreuth,24.354273498491388
2023-11-08,09463,SK Coburg,21.97533878647296
2023-11-08,09464,SK Hof,28.808864265927976
2023-11-08,09471,LK Bamberg,18.280669207905376
2023-11-08,09472,LK Bayreuth,19.296079036739734
2023-11-08,09473,LK Coburg,33.508966537252725
2023-11-08,09474,LK Forchheim,11.991126566340908
2023-11-08,09475,LK Hof,25.557200208717134
2023-11-08,09476,LK Kronach,10.591457233208759
