Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-29,5,5774,74503,216,291,0,2727,2022-04-29,2022-04-28,308335,884.427651742423
2022-04-29,5,5911,87751,419,240,1,2132,2022-04-29,2022-04-28,364454,584.9846619875211
2022-04-29,5,5913,160609,534,724,2,4550,2022-04-29,2022-04-28,587696,774.2097955405516
2022-04-29,5,5914,54294,472,254,3,1255,2022-04-29,2022-04-28,188687,665.1226634585319
2022-04-29,5,5915,53081,281,183,1,1399,2022-04-29,2022-04-28,178967,781.7083596417217
2022-04-29,5,5916,44248,359,105,0,960,2022-04-29,2022-04-28,156940,611.6987383713521
2022-04-29,5,5954,78923,539,385,2,1528,2022-04-29,2022-04-27,323130,472.8746943954446
2022-04-29,5,5958,71719,267,410,0,2589,2022-04-29,2022-04-28,259030,999.4981276300042
2022-04-29,5,5962,120248,623,466,0,3344,2022-04-29,2022-04-28,408662,818.2801434926662
2022-04-29,5,5966,34608,202,123,0,940,2022-04-29,2022-04-28,133362,704.8484575816199
2022-04-29,5,5970,79563,266,380,0,2738,2022-04-29,2022-04-28,275491,993.8618684457931
2022-04-29,5,5974,77714,354,243,1,2074,2022-04-29,2022-04-28,301016,688.999920270019
2022-04-29,5,5978,97284,653,626,0,3199,2022-04-29,2022-04-28,393618,812.7168981093345
2022-04-29,6,6411,40919,205,257,0,1353,2022-04-29,2022-04-28,159174,850.0131931094274
2022-04-29,6,6412,221399,1207,553,1,5941,2022-04-29,2022-04-28,764104,777.511961722488
2022-04-29,6,6413,41822,266,102,1,725,2022-04-29,2022-04-28,130892,553.8917580906395
2022-04-29,6,6414,80944,395,284,0,2148,2022-04-29,2022-04-28,278609,770.9729405726305
2022-04-29,6,6431,77488,450,365,1,2494,2022-04-29,2022-04-28,271015,920.2442669224952
2022-04-29,6,6432,75117,426,374,0,2361,2022-04-29,2022-04-28,297701,793.077618147067
2022-04-29,6,6433,74063,374,295,0,1964,2022-04-29,2022-04-28,275807,712.0921513957223
2022-04-29,6,6434,58396,265,298,0,2201,2022-04-29,2022-04-28,237281,927.592179736262
2022-04-29,6,6435,122640,845,421,0,3762,2022-04-29,2022-04-28,421689,892.1266620661198
2022-04-29,6,6436,62381,298,345,0,1997,2022-04-29,2022-04-28,239264,834.6429049083857
2022-04-29,6,6437,28069,223,128,1,819,2022-04-29,2022-04-28,96754,846.4766314570974
2022-04-29,6,6438,101737,751,410,0,2684,2022-04-29,2022-04-28,356542,752.7864879873899
2022-04-29,6,6439,48447,217,267,2,1553,2022-04-29,2022-04-28,187433,828.5627397523383
2022-04-29,6,6440,80922,639,383,0,2538,2022-04-29,2022-04-28,310353,817.7784651670839
2022-04-29,6,6531,77329,409,459,1,2775,2022-04-29,2022-04-28,271667,1021.4711392992156
2022-04-29,6,6532,70858,309,429,0,2601,2022-04-29,2022-04-28,253373,1026.5497902302138
2022-04-29,6,6533,47963,350,293,2,1418,2022-04-29,2022-04-28,172291,823.026159230604
2022-04-29,6,6534,66501,344,402,1,2589,2022-04-29,2022-04-28,245903,1052.8541742069026
2022-04-29,6,6535,29024,123,182,0,1414,2022-04-29,2022-04-28,105506,1340.2081398214318
2022-04-29,6,6611,47818,264,235,1,1987,2022-04-29,2022-04-28,201048,988.3211969280967
2022-04-29,6,6631,79216,384,333,0,2446,2022-04-29,2022-04-28,223023,1096.7478690538644
2022-04-29,6,6632,30727,220,510,0,1678,2022-04-29,2022-04-28,120304,1394.799840404309
2022-04-29,6,6633,49612,284,647,1,2809,2022-04-29,2022-04-28,237007,1185.197061690161
2022-04-29,6,6634,42826,282,266,0,2073,2022-04-29,2022-04-28,179840,1152.69128113879
2022-04-29,6,6635,39409,179,146,0,1986,2022-04-29,2022-04-28,156528,1268.7825820300523
2022-04-29,6,6636,23988,206,150,0,1072,2022-04-29,2022-04-28,100046,1071.5071067309038
2022-04-29,7,7111,30904,184,115,0,765,2022-04-29,2022-04-28,113388,674.6745687374325
2022-04-29,7,7131,29896,93,118,1,778,2022-04-29,2022-04-28,130479,596.2645329899831
2022-04-29,7,7132,31636,138,190,0,948,2022-04-29,2022-04-28,129087,734.3884357061517
2022-04-29,7,7133,44930,175,285,0,1577,2022-04-29,2022-04-28,158746,993.4108575964119
2022-04-29,7,7134,22035,146,76,0,664,2022-04-29,2022-04-28,80830,821.4771743164666
2022-04-29,7,7135,15972,93,135,0,706,2022-04-29,2022-04-28,61578,1146.5133651628828
2022-04-29,7,7137,56983,228,239,0,1547,2022-04-29,2022-04-28,214786,720.2517854981237
2022-04-29,7,7138,43586,241,58,0,1067,2022-04-29,2022-04-27,183131,582.6430260305465
2022-04-29,7,7140,24322,126,79,0,556,2022-04-29,2022-04-28,103401,537.7124012340306
2022-04-29,7,7141,29449,119,119,0,936,2022-04-29,2022-04-28,122574,763.6203436291546
2022-04-29,7,7143,52972,234,132,0,1615,2022-04-29,2022-04-28,202830,796.2332988216733
2022-04-29,7,7211,27400,59,111,0,877,2022-04-29,2022-04-28,110674,792.4173699333176
2022-04-29,7,7231,26576,109,67,1,796,2022-04-29,2022-04-28,112685,706.3939299818077
2022-04-29,7,7232,22936,52,112,0,445,2022-04-29,2022-04-28,100055,444.7553845385038
2022-04-29,7,7233,17673,84,101,0,755,2022-04-29,2022-04-28,60491,1248.1195549751203
2022-04-29,7,7235,37306,134,125,0,1267,2022-04-29,2022-04-28,150533,841.6759115941355
2022-04-29,7,7311,13225,88,180,0,248,2022-04-29,2022-04-28,48750,508.71794871794873
2022-04-29,7,7312,28794,204,172,4,1064,2022-04-29,2022-04-28,99662,1067.6085167867393
2022-04-29,7,7313,10161,64,55,0,227,2022-04-29,2022-04-28,46685,486.23754953411157
2022-04-29,7,7314,48858,415,507,0,700,2022-04-29,2022-04-28,172557,405.6630562654659
2022-04-29,7,7315,62420,256,204,0,1715,2022-04-29,2022-04-28,217123,789.8748635566016
2022-04-29,7,7316,14307,63,61,1,407,2022-04-29,2022-04-28,53306,763.5163021048288
2022-04-29,7,7317,9623,93,61,0,328,2022-04-29,2022-04-28,40176,816.4078056551175
2022-04-29,7,7318,15021,115,229,0,245,2022-04-29,2022-04-28,50741,482.84424824106736
2022-04-29,7,7319,25134,136,79,0,703,2022-04-29,2022-04-28,83459,842.3297667117986
2022-04-29,7,7320,8224,26,68,0,309,2022-04-29,2022-04-28,34001,908.7968000941148
2022-04-29,7,7331,34944,189,142,3,1251,2022-04-29,2022-04-28,130715,957.043950579505
2022-04-29,7,7332,31850,217,135,0,983,2022-04-29,2022-04-28,133004,739.0755165258188
