Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,8,8315,LK Breisgau-Hochschwarzwald,82184,327,170,1,572,215.9574427920428
2022-05-24,8,8316,LK Emmendingen,55057,241,77,1,461,276.27620428857375
2022-05-24,8,8317,LK Ortenaukreis,156152,802,280,4,930,214.98913495769568
2022-05-24,8,8325,LK Rottweil,52133,279,69,0,228,162.66426950901075
2022-05-24,8,8326,LK Schwarzwald-Baar-Kreis,75360,362,53,0,389,182.73892292081626
2022-05-24,8,8327,LK Tuttlingen,51033,255,32,0,286,201.86050451010007
2022-05-24,8,8335,LK Konstanz,91660,431,136,0,742,258.64833586636735
2022-05-24,8,8336,LK Lörrach,69272,417,129,0,698,305.01393974882234
2022-05-24,8,8337,LK Waldshut,53264,320,137,0,278,162.34809065797697
2022-05-24,8,8415,LK Reutlingen,96624,444,178,0,632,219.82838081788682
2022-05-24,8,8416,LK Tübingen,72784,248,198,0,708,309.8861562298935
2022-05-24,8,8417,LK Zollernalbkreis,65554,244,117,0,592,311.80541656571614
2022-05-24,8,8421,SK Ulm,42892,115,75,0,285,225.46576480360747
2022-05-24,8,8425,LK Alb-Donau-Kreis,68621,230,106,0,439,221.48897095921376
2022-05-24,8,8426,LK Biberach,74532,284,141,0,496,245.24103831891222
2022-05-24,8,8435,LK Bodenseekreis,71091,330,116,0,475,217.98890321751622
2022-05-24,8,8436,LK Ravensburg,100544,220,133,0,630,220.36601746138348
2022-05-24,8,8437,LK Sigmaringen,50201,172,92,0,396,302.41473584531025
2022-05-24,9,9161,SK Ingolstadt,50255,244,92,0,327,238.76978795490388
2022-05-24,9,9162,SK München,521370,2020,1248,3,4435,298.01061952611275
2022-05-24,9,9163,SK Rosenheim,26107,127,63,2,204,320.8001132235694
2022-05-24,9,9171,LK Altötting,45346,329,122,0,438,392.283303777742
2022-05-24,9,9172,LK Berchtesgadener Land,43007,186,88,0,234,220.07580388800585
2022-05-24,9,9173,LK Bad Tölz-Wolfratshausen,47585,178,119,0,424,330.70227435809437
2022-05-24,9,9174,LK Dachau,60267,239,181,0,663,427.4193028488174
2022-05-24,9,9175,LK Ebersberg,54136,282,153,0,587,407.381446447037
2022-05-24,9,9176,LK Eichstätt,49306,140,85,0,412,309.38131246761634
2022-05-24,9,9177,LK Erding,56455,187,254,0,650,467.992886508125
2022-05-24,9,9178,LK Freising,65945,220,265,0,631,349.94703654201305
2022-05-24,9,9179,LK Fürstenfeldbruck,76008,228,237,1,835,381.73173630794554
2022-05-24,9,9180,LK Garmisch-Partenkirchen,30160,149,83,0,320,362.4871147158441
2022-05-24,9,9181,LK Landsberg a.Lech,42336,122,112,0,487,402.416149530239
2022-05-24,9,9182,LK Miesbach,38428,184,166,0,869,867.412634878173
2022-05-24,9,9183,LK Mühldorf a.Inn,51615,305,173,0,498,427.5301975395551
2022-05-24,9,9184,LK München,116173,372,352,0,1167,333.7289274632884
2022-05-24,9,9185,LK Neuburg-Schrobenhausen,38437,147,102,0,282,288.55008697431697
2022-05-24,9,9186,LK Pfaffenhofen a.d.Ilm,47952,235,109,0,358,277.2442847407224
2022-05-24,9,9187,LK Rosenheim,109707,721,254,4,1061,405.3935297511472
2022-05-24,9,9188,LK Starnberg,43349,170,86,0,394,288.41226850157386
2022-05-24,9,9189,LK Traunstein,77713,363,271,0,908,511.59252894610813
2022-05-24,9,9190,LK Weilheim-Schongau,49449,192,117,0,585,429.72365463440434
2022-05-24,9,9261,SK Landshut,26464,175,86,0,438,599.4662287004721
