Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,6,6532,68666,303,403,2,2787,2022-04-23,2022-04-22,253373,1099.959348470437
2022-04-23,6,6533,46510,348,179,0,1424,2022-04-23,2022-04-22,172291,826.5086394530184
2022-04-23,6,6534,64020,340,711,0,2963,2022-04-23,2022-04-22,245903,1204.9466659617817
2022-04-23,6,6535,27790,123,177,0,1927,2022-04-23,2022-04-22,105506,1826.4364111993632
2022-04-23,6,6611,46071,259,221,8,1018,2022-04-23,2022-04-22,201048,506.3467430663324
2022-04-23,6,6631,76901,382,547,0,3291,2022-04-23,2022-04-22,223023,1475.6325580769696
2022-04-23,6,6632,29154,219,317,0,731,2022-04-23,2022-04-22,120304,607.6273440617103
2022-04-23,6,6633,47119,277,328,0,1708,2022-04-23,2022-04-22,237007,720.6538203512977
2022-04-23,6,6634,41176,280,429,0,2368,2022-04-23,2022-04-22,179840,1316.7259786476868
2022-04-23,6,6635,37895,179,472,0,1788,2022-04-23,2022-04-22,156528,1142.2876418276603
2022-04-23,6,6636,23158,206,249,1,1430,2022-04-23,2022-04-22,100046,1429.3425024488736
2022-04-23,7,7111,30120,184,197,0,827,2022-04-23,2022-04-22,113388,729.3540762690938
2022-04-23,7,7131,29241,92,122,0,784,2022-04-23,2022-04-22,130479,600.8629741184405
2022-04-23,7,7132,30856,136,250,0,1164,2022-04-23,2022-04-22,129087,901.7174463733761
2022-04-23,7,7133,43688,175,436,0,1857,2022-04-23,2022-04-22,158746,1169.7932546331876
2022-04-23,7,7134,21436,146,191,1,821,2022-04-23,2022-04-22,80830,1015.7119881232217
2022-04-23,7,7135,15440,92,184,0,569,2022-04-23,2022-04-22,61578,924.0313098834
2022-04-23,7,7137,55417,227,438,0,1681,2022-04-23,2022-04-22,214786,782.6394643971208
2022-04-23,7,7138,42751,240,365,0,1192,2022-04-23,2022-04-22,183131,650.9001752843593
2022-04-23,7,7140,23901,126,286,0,813,2022-04-23,2022-04-22,103401,786.2593205094729
2022-04-23,7,7141,28668,119,190,0,1168,2022-04-23,2022-04-22,122574,952.8937621355263
2022-04-23,7,7143,51573,234,377,1,2266,2022-04-23,2022-04-22,202830,1117.191736922546
2022-04-23,7,7211,26633,59,185,0,977,2022-04-23,2022-04-22,110674,882.7728283065579
2022-04-23,7,7231,25903,106,180,0,1091,2022-04-23,2022-04-22,112685,968.1856502640102
2022-04-23,7,7232,22474,51,23,0,471,2022-04-23,2022-04-21,100055,470.74109239918045
2022-04-23,7,7233,17032,84,113,0,1177,2022-04-23,2022-04-22,60491,1945.743994974459
2022-04-23,7,7235,36199,134,356,0,1569,2022-04-23,2022-04-22,150533,1042.296373552643
2022-04-23,7,7311,12795,87,133,0,238,2022-04-23,2022-04-22,48750,488.2051282051282
2022-04-23,7,7312,27877,197,234,0,971,2022-04-23,2022-04-22,99662,974.2931107142141
2022-04-23,7,7313,9856,64,81,0,152,2022-04-23,2022-04-22,46685,325.5863767805505
2022-04-23,7,7314,47611,412,313,0,782,2022-04-23,2022-04-22,172557,453.1835857137062
2022-04-23,7,7315,60980,255,558,0,1877,2022-04-23,2022-04-22,217123,864.4869497934351
2022-04-23,7,7316,13965,62,74,0,534,2022-04-23,2022-04-22,53306,1001.763403744419
2022-04-23,7,7317,9320,92,65,0,207,2022-04-23,2022-04-22,40176,515.2329749103943
2022-04-23,7,7318,14527,115,77,0,234,2022-04-23,2022-04-22,50741,461.1655268914684
2022-04-23,7,7319,24628,134,253,0,789,2022-04-23,2022-04-22,83459,945.3743754418338
2022-04-23,7,7320,7940,26,107,0,363,2022-04-23,2022-04-22,34001,1067.6156583629893
2022-04-23,7,7331,34013,185,433,0,1609,2022-04-23,2022-04-22,130715,1230.9222353976209
2022-04-23,7,7332,31021,213,205,1,1163,2022-04-23,2022-04-22,133004,874.4097921867011
